rule_id,entity_id,entity_origin,target_origin,compound_name,synonyms,compound_class,subclass,formula,exact_mass,ion_mode,adduct,reported_precursor_mz,reported_fragments,reported_neutral_losses,literature_status,derivation_id,evidence_ids,review_status,review_note
cmp_f51fd450177b04,entity_f51fd450177b0408,reported,reported,Malonyl NG-R,,ginsenoside,,C62H102O30,1326.64559187456,negative,[M-H]-,1325.6359,,,reported,,chunk_aecb53d48c9704658bfe,candidate,Structured compound record mined from local corpus text.
cmp_5950789df18890,entity_5950789df1889068,reported,reported,NG-R4 isomer,,ginsenoside,,C59H100O27,1240.64519795139,negative,[M-H]-,1239.6354,1077.5991;945.5528;783.4883;621.444;459.385,,reported,,chunk_aecb53d48c9704658bfe;chunk_673e57ae559fbe27b514,candidate,Structured compound record mined from local corpus text.
cmp_77a8818b5e0188,entity_77a8818b5e0188c1,reported,reported,KG-R,,ginsenoside,,C46H76O15,868.51842174303,negative,[M-H]-,867.5138,,,reported,,chunk_aecb53d48c9704658bfe,candidate,Structured compound record mined from local corpus text.
cmp_fc7578bb143494,entity_fc7578bb143494c5,reported,reported,G-Rf,,ginsenoside,,C42H72O14,800.49220699454,negative,[M-H]-,799.4842,637.4254;475.375,,reported,,chunk_aecb53d48c9704658bfe;chunk_673e57ae559fbe27b514,candidate,Structured compound record mined from local corpus text.
cmp_65372db03ba83c,entity_65372db03ba83c0f,reported,reported,G-Ra2 isomer,,ginsenoside,,C58H98O26,1210.63463326736,negative,[M-H]-,1209.6244,1077.5944;945.5486;783.4888;621.4386;459.384,,reported,,chunk_168551a92eac5e480fc1;chunk_612d33e005b5bccef09c,candidate,Structured compound record mined from local corpus text.
cmp_ebec9a1c11c7c6,entity_ebec9a1c11c7c6a0,reported,reported,G-Ra3 isomer,,ginsenoside,,C59H100O27,1240.64519795139,negative,[M-H]-,1239.6349,1077.5998;945.5482;783.4918;621.4393;459.386,,reported,,chunk_168551a92eac5e480fc1;chunk_612d33e005b5bccef09c,candidate,Structured compound record mined from local corpus text.
cmp_f4631bf4dff7d9,entity_f4631bf4dff7d96d,reported,reported,G-Ra,,ginsenoside,,C58H98O26,1210.63463326736,negative,[M-H]-,1209.6243,,,reported,,chunk_168551a92eac5e480fc1;chunk_775d46993d8b1bb593dc;claim_struct_a7c9fab77a4320c2;chunk_7e823cba6e7b94c6effa;chunk_d5f909b18dde303430ee,candidate,Structured compound record mined from local corpus text.
cmp_a19d00072e06e0,entity_a19d00072e06e0b0,reported,reported,G-Rb,,ginsenoside,,C54H92O23,1108.60293921527,negative,[M-H]-,1107.5987,,,reported,,chunk_775d46993d8b1bb593dc;chunk_508b460b47d6880b8409;claim_struct_3ccb1fe6885f2cbf,candidate,Structured compound record mined from local corpus text.
cmp_7e7aec1c324181,entity_7e7aec1c32418161,reported,reported,Malonyl G-Rb,,ginsenoside,,C57H94O26,1194.60333313844,negative,[M-H]-,1193.5927,,,reported,,chunk_775d46993d8b1bb593dc;chunk_7e2a55989c3c3b1cbb8e,candidate,Structured compound record mined from local corpus text.
cmp_9837d8c1474ae5,entity_9837d8c1474ae5e9,reported,reported,Acetyl G-Rb1/isomer,,ginsenoside,,C56H94O24,1150.6135038993,negative,[M-H]-,1149.6023,,,reported,,chunk_775d46993d8b1bb593dc;chunk_508b460b47d6880b8409,candidate,Structured compound record mined from local corpus text.
cmp_38755087b2dde0,entity_38755087b2dde0aa,reported,reported,G-Ro isomer,,ginsenoside,,C48H76O19,956.4980802213099,negative,[M-H]-,955.4934,793.4366;613.3846;455.3542;793.4389;631.3845;455.3562,,reported,,chunk_775d46993d8b1bb593dc;chunk_7e2a55989c3c3b1cbb8e;chunk_7e823cba6e7b94c6effa;claim_struct_09128560235baa5a;chunk_d5f909b18dde303430ee;claim_struct_387eed1abee7c213;chunk_11d1c2fdc2b5580b2231;claim_struct_79dd0f40241c79ca;chunk_94adec325330afc3200b;chunk_3619e49b534f9a4ce986,candidate,Structured compound record mined from local corpus text.
cmp_0f45fe4d58e414,entity_0f45fe4d58e4149e,reported,reported,NG-R2 isomer,,ginsenoside,,C41H70O13,770.48164231051,negative,[M-H]-,769.4748,637.4354;475.3786,,reported,,chunk_775d46993d8b1bb593dc;chunk_94adec325330afc3200b,candidate,Structured compound record mined from local corpus text.
cmp_1f50137473f79c,entity_1f50137473f79c32,reported,reported,G-Rc,,ginsenoside,,C53H90O22,1078.59237453124,negative,[M-H]-,1077.5872,945.5465;783.4935;621.4415;459.3859;783.488,,reported,,chunk_2434ce436795cb7fc49d;chunk_953c5cfe21b731593fac;chunk_fa9adedb3940c97c89e4,candidate,Structured compound record mined from local corpus text.
cmp_b985f8b5f4accb,entity_b985f8b5f4accb8e,reported,reported,G-Ro,,ginsenoside,,C48H76O19,956.4980802213099,negative,[M-H]-,955.4936,793.337;731.3452;794.4441,,reported,,chunk_2434ce436795cb7fc49d;chunk_953c5cfe21b731593fac;chunk_3aa505ba479fab4c714e,candidate,Structured compound record mined from local corpus text.
cmp_1bab62514d0ed3,entity_1bab62514d0ed366,reported,reported,G-Ra1 isomer,,ginsenoside,,C58H98O26,1210.63463326736,negative,[M-H]-,1209.6252,621.442;459.3802;783.5059;765.4744,,reported,,chunk_508b460b47d6880b8409;chunk_db339249ed628d35a396,candidate,Structured compound record mined from local corpus text.
cmp_9c05dc46a84885,entity_9c05dc46a8488518,reported,reported,G-Rh,,ginsenoside,,C36H62O9,638.43938357439,negative,[M-H]-,637.4346,,,reported,,chunk_508b460b47d6880b8409;chunk_1655078aa05b269cc22a,candidate,Structured compound record mined from local corpus text.
cmp_fbbfb5c3813ff3,entity_fbbfb5c3813ff369,reported,reported,Acetyl G-Rb,,ginsenoside,,C55H92O23,1120.60293921527,negative,[M-H]-,1119.5944,,,reported,,chunk_7e2a55989c3c3b1cbb8e;chunk_d5f909b18dde303430ee;claim_struct_6b325dab179d7844;chunk_11d1c2fdc2b5580b2231;claim_struct_3ba43129efb0ed9f,candidate,Structured compound record mined from local corpus text.
cmp_99668bae7432d0,entity_99668bae7432d06b,reported,reported,CS IV,,ginsenoside,,C47H74O18,926.48751553728,negative,[M-H]-,925.4769,763.4385;631.3831;455.3513,,reported,,chunk_7e2a55989c3c3b1cbb8e;chunk_c4cceb9b8466fc2b4538,candidate,Structured compound record mined from local corpus text.
cmp_759b1c911e5b5e,entity_759b1c911e5b5e61,reported,reported,PQ-R,,ginsenoside,,C56H94O24,1150.6135038993,negative,[M-H]-,1149.6054,,,reported,,chunk_7e2a55989c3c3b1cbb8e,candidate,Structured compound record mined from local corpus text.
cmp_025acbe5a44b4e,entity_025acbe5a44b4e5d,reported,reported,G-Rd isomer,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.5437,783.4922;621.4408;459.387;783.4129;621.3799;459.3424,,reported,,chunk_7e2a55989c3c3b1cbb8e;chunk_d5f909b18dde303430ee;claim_struct_38ac1ee30275ab50;claim_struct_72b899e1075b819b;chunk_1a1f68d9d514cc587b81;chunk_3fbcfd2a032f66b908a5,candidate,Structured compound record mined from local corpus text.
cmp_586e945fd8cf65,entity_586e945fd8cf6585,reported,reported,Pseudo-G-RT,,ginsenoside,,C47H74O18,926.48751553728,negative,[M-H]-,925.481,,,reported,,chunk_7e2a55989c3c3b1cbb8e,candidate,Structured compound record mined from local corpus text.
cmp_c7e2e161d76727,entity_c7e2e161d7672796,reported,reported,G-Rb2/G-Rb3/G-Rc isomer,,ginsenoside,,C53H90O22,1078.59237453124,negative,[M-H]-,1077.5865,,,reported,,chunk_7e823cba6e7b94c6effa,candidate,Structured compound record mined from local corpus text.
cmp_19ed98879dbc64,entity_19ed98879dbc64d5,reported,reported,Acetyl G-Rc,,ginsenoside,,C55H92O23,1120.60293921527,negative,[M-H]-,1119.6001,1077.5876;945.5461;783.4922;621.4387;459.386,,reported,,chunk_7e823cba6e7b94c6effa;chunk_422e82f9c16efd5c8866,candidate,Structured compound record mined from local corpus text.
cmp_46ebfd4d0faab3,entity_46ebfd4d0faab388,reported,reported,PQ-R1 isomer,,ginsenoside,,C56H94O24,1150.6135038993,negative,[M-H]-,1149.6036,1107.6019;945.5455;783.4946;621.4411;459.3897,,reported,,chunk_7e823cba6e7b94c6effa;chunk_95caef31f73630e25b00;claim_struct_be66eb3dab60b506;chunk_a01eba6aabd82aeda459,candidate,Structured compound record mined from local corpus text.
cmp_460ff1a88909cf,entity_460ff1a88909cf97,reported,reported,G-Rs,,ginsenoside,,C55H92O23,1120.60293921527,negative,[M-H]-,1119.5986,,,reported,,chunk_95caef31f73630e25b00;claim_struct_cbdb21e8e4f3914d,candidate,Structured compound record mined from local corpus text.
cmp_3c1dfb232de48c,entity_3c1dfb232de48c72,reported,reported,G-Rd,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.5453,783.494;621.4411;459.3876;621.4388;945.5425,,reported,,chunk_95caef31f73630e25b00;chunk_2bb3d2b923e2cecf9845;chunk_ca6afe86d43c7d1d4af7,candidate,Structured compound record mined from local corpus text.
cmp_1bfb47025be132,entity_1bfb47025be132b1,reported,reported,CS IVa,,ginsenoside,,C42H66O14,794.44525680116,negative,[M-H]-,793.4354,631.3881;455.3552,,reported,,chunk_95caef31f73630e25b00;chunk_2bb3d2b923e2cecf9845,candidate,Structured compound record mined from local corpus text.
cmp_5a34e49b62aaa7,entity_5a34e49b62aaa7e9,reported,reported,20(R)-G-Rh,,ginsenoside,,C36H62O9,638.43938357439,negative,[M-H]-,637.4307,,,reported,,chunk_95caef31f73630e25b00,candidate,Structured compound record mined from local corpus text.
cmp_f61a12989a30d2,entity_f61a12989a30d228,reported,reported,G-Ra5 isomer,,ginsenoside,,C60H100O27,1252.64519795139,negative,[M-H]-,1251.6376,1209.6368;1077.5837;945.5439;783.4867;621.4428;459.3833,,reported,,chunk_d5f909b18dde303430ee;chunk_44e2d880700577e5c718,candidate,Structured compound record mined from local corpus text.
cmp_13e8d214294b4f,entity_13e8d214294b4fa6,reported,reported,Malonyl G-Rd,,ginsenoside,,C51H84O21,1032.55050971829,negative,[M-H]-,1031.5449,945.5449;783.4942;621.4404;459.3854,,reported,,chunk_d5f909b18dde303430ee;chunk_ea9fd530eb2896f54986,candidate,Structured compound record mined from local corpus text.
cmp_e8b01c71e6588d,entity_e8b01c71e6588d19,reported,reported,Acetyl G-Rd,,ginsenoside,,C50H84O19,988.5606804791499,negative,[M-H]-,987.5564,945.5446;783.498;621.3635;459.3897,,reported,,chunk_11d1c2fdc2b5580b2231;chunk_3fbcfd2a032f66b908a5,candidate,Structured compound record mined from local corpus text.
cmp_eec50eeb253920,entity_eec50eeb25392068,reported,reported,G-Ra7/G-Ra8/G-Ra,,ginsenoside,,C57H94O23,1146.61858927973,negative,[M-H]-,1145.6134,1077.5917;945.5481;783.4933;621.4425;459.3887;1077.591;945.5491;783.4952;621.4391;459.3888;1077.5893;945.546;783.4903;621.4385;459.3884,,reported,,chunk_11d1c2fdc2b5580b2231;chunk_a95da36205abca6a0b93;claim_struct_cb96ccc07908a1d8;chunk_4152b790a69fd3c2b135;claim_struct_4132c12ac9e48329;chunk_3fbcfd2a032f66b908a5;chunk_1c90a307f50ccf7b2b0f;chunk_9d87269f94909f211bfd,candidate,Structured compound record mined from local corpus text.
cmp_cf187aaf0a3bda,entity_cf187aaf0a3bda47,reported,reported,G-Ro methyl ester,,ginsenoside,,C49H78O19,970.51373028577,negative,[M-H]-,969.5033,807.4502;645.3971;455.3529;455.354;619.4312,,reported,,chunk_11d1c2fdc2b5580b2231;chunk_c45f5da5daa597ecf6ef;chunk_07158b980709b4d03d0d,candidate,Structured compound record mined from local corpus text.
cmp_99907524ff5294,entity_99907524ff52948c,reported,reported,Vinaginsenoside R,,ginsenoside,,C47H80O17,916.5395511110901,negative,[M-H]-,915.5351,,,reported,,chunk_a95da36205abca6a0b93,candidate,Structured compound record mined from local corpus text.
cmp_b6c76d6a8829d7,entity_b6c76d6a8829d74a,reported,reported,Gypenoside XVII,,ginsenoside,,C48H82O18,946.5501157951201,negative,[M-H]-,945.545,,,reported,,chunk_a95da36205abca6a0b93;chunk_0c57cce1b0272f034276,candidate,Structured compound record mined from local corpus text.
cmp_a8ef314fe3b4c3,entity_a8ef314fe3b4c30c,reported,reported,G-Ra6 isomer,,ginsenoside,,C58H96O24,1176.62915396376,negative,[M-H]-,1175.6235,1107.595;945.5417;783.4889;621.4376;459.3846,,reported,,chunk_a95da36205abca6a0b93;chunk_4152b790a69fd3c2b135;claim_struct_887a8b4867085259;chunk_654d2a4219b13a49d8a1,candidate,Structured compound record mined from local corpus text.
